id,age,income,gender,marital,numkids,numcards,howpaid,mortgage,storecar,loans,risk,income1k
100756.000000,44,59944,2,2,1,2,1,2,2,0,3,59.944
100668.000000,35,59692,2,2,1,1,1,2,1,0,1,59.692
100416.000000,34,59463,2,2,0,2,1,2,1,1,1,59.463
100590.000000,39,59393,1,2,0,2,1,2,1,0,3,59.393
100702.000000,42,59201,2,2,0,1,1,2,2,0,3,59.201
100319.000000,31,59193,1,2,1,2,1,2,1,1,3,59.193
100666.000000,28,59179,2,2,1,1,1,2,2,1,1,59.179
100389.000000,30,59036,2,2,1,1,1,2,2,1,3,59.036
100758.000000,38,58914,2,2,0,1,1,2,1,1,2,58.914
100695.000000,36,58878,1,2,1,1,1,2,1,0,2,58.878
100769.000000,44,58529,2,2,0,1,1,2,1,0,1,58.529
100414.000000,34,58026,2,2,0,1,1,2,2,0,3,58.026
100354.000000,32,57718,2,2,1,2,1,2,1,1,2,57.718
100567.000000,38,57683,1,2,1,1,1,2,2,1,1,57.683
100728.000000,28,57623,2,2,1,1,1,2,1,1,1,57.623
100665.000000,41,57520,1,2,1,1,1,2,1,0,1,57.52
100730.000000,43,57388,1,2,0,1,1,2,1,0,1,57.388
100412.000000,34,56891,2,2,1,1,1,2,2,1,2,56.891
100374.000000,33,56849,2,2,1,1,1,2,1,1,3,56.849
100566.000000,38,56590,2,2,0,2,1,2,1,0,1,56.59
100421.000000,34,56486,2,2,0,1,1,2,1,1,2,56.486
100670.000000,41,56470,2,2,0,2,1,2,1,0,1,56.47
100379.000000,33,56087,2,2,1,2,1,2,1,1,2,56.087
100292.000000,30,56087,1,2,0,1,1,2,1,1,2,56.087
100294.000000,30,55642,1,2,1,2,1,2,1,0,3,55.642
100570.000000,38,55565,2,2,1,2,1,2,1,0,3,55.565
100425.000000,34,55497,2,2,1,1,1,2,2,1,2,55.497
100592.000000,39,55390,1,2,0,1,1,2,1,0,2,55.39
100601.000000,39,55215,2,2,0,2,1,2,2,0,3,55.215
100486.000000,36,54938,2,2,0,2,1,2,1,0,3,54.938
100348.000000,32,54792,2,2,1,1,1,2,2,0,3,54.792
100450.000000,35,54673,1,2,1,2,1,2,2,1,2,54.673
100629.000000,28,54671,2,2,0,2,1,2,1,0,3,54.671
100757.000000,44,54451,2,2,0,1,1,2,2,1,3,54.451
100488.000000,36,54021,2,2,1,1,1,2,2,1,2,54.021
100383.000000,33,54013,1,2,0,1,1,2,2,0,3,54.013
100770.000000,44,53983,1,2,1,2,1,2,2,0,2,53.983
100795.000000,45,53842,1,2,0,2,1,2,1,0,3,53.842
100597.000000,39,53731,2,2,0,2,1,2,2,1,3,53.731
100794.000000,45,53704,2,2,1,2,1,2,2,1,3,53.704
100755.000000,44,53660,1,2,1,1,1,2,1,1,3,53.66
100492.000000,36,53365,2,2,0,1,1,2,2,0,2,53.365
100694.000000,42,53307,2,2,0,2,1,2,1,1,1,53.307
