custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,longten,tollfree,tollmon,tollten,equip,equipmon,equipten,callcard,cardmon,cardten,wireless,wiremon,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
3964-QJWTRG-NPN,Zone 1,"50,000-249,999",,20,18-24,September,15,Some college,Managerial and Professional,Yes,0,Less than 2,No,31,11.1,1.200909,0.18307877,2.240091,0.80651649,Yes,Highly dissatisfied,Unmarried,Not married,Not married,3,0,0,0,0,0,0,0,0,Rent,Multiple-Family,0,Less than 3,2,Own,Domestic,14.3,Economy,No,No,Walk,Non-motorized,22,No,Yes,Yes,No,No,No,No,Yes,No,No,No response,Conservative,Yes,No,Yes,Mastercard,None,None,No,2,2 to 5,Other,Platinum,None,No,3,2 to 5,5,1721.688444,4,67.8,No,Cereal,5,Yes,6.5,34.4,Yes,29,161.05,Yes,29.5,126.1,Yes,14.25,60,No,0,0,Yes,Yes,Yes,None,No,Yes,Yes,Yes,No,Yes,13,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No
0648-AIPJSP-UVM,Zone 5,"< 2,500",Male,22,18-24,May,17,College degree,Sales and Office,No,0,Less than 2,No,15,18.6,1.22202,0.200505227,1.56798,0.449788167,Yes,Highly dissatisfied,Unmarried,Not married,Not married,2,6,0,0,0,0,0,0,6,Own,Condominium/Townhouse,2,Less than 3,2,Own,Import,6.8,Economy,No,No,Car,Single occupancy,29,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No response,Moderate,Yes,No,No,Visa,Other,None,No,4,2 to 5,Discover,None,Airline miles,No,4,2 to 5,5,42.6,2,34.94,Yes,Energy bar,39,No,8.9,330.6,No,0,0,Yes,54.85,1975,Yes,16,610,Yes,45.65,1683.55,Yes,Yes,Yes,Other,Yes,No,Yes,No,Yes,Yes,18,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,No,No,No
5195-TLUDJE-HVO,Zone 3,"2,500-9,999",Female,67,>65,June,14,High school degree,Sales and Office,No,16,More than 15,No,35,9.9,0.92862,-0.074055666,2.53638,0.930737868,No,Somewhat satisfied,Married,13,High school degree,3,3,2,1,0,0,0,0,0,Own,Single-family,30,More than 25,3,Own,Import,18.8,Economy,No,Yes,Bus,Public transportation,24,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Convenience,Slightly conservative,Yes,No,No,Visa,None,Other,No,35,More than 15,Discover,None,Airline miles,No,25,More than 15,9,184.22,7,175.75,No,Cereal,65,No,28.4,1858.35,No,0,0,No,0,0,Yes,23,1410,No,0,0,Yes,No,No,None,No,No,No,No,No,Yes,21,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
4459-VLPQUH-3OL,Zone 4,"10,000-49,999",Male,23,18-24,May,16,Some college,Sales and Office,No,0,Less than 2,No,20,5.7,0.0228,-3.780994743,1.1172,0.110825555,Yes,Somewhat dissatisfied,Married,18,College degree,5,0,0,0,0,0,0,0,0,Own,Condominium/Townhouse,3,4 to 7,3,Own,Import,8.7,Economy,No,Yes,Car,Single occupancy,38,Yes,No,No,No,No,No,No,No,No,No,No response,Slightly liberal,No,No,No,Visa,None,Other,No,5,2 to 5,Mastercard,Gold,Other,No,5,2 to 5,17,340.99,1,18.42,Yes,Energy bar,36,No,6,199.45,No,0,0,No,0,0,Yes,21,685,No,0,0,Yes,No,No,DSL,No,No,No,No,Yes,Yes,26,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
8158-SMTQFB-CNO,Zone 2,"50,000-249,999",Male,26,25-34,July,16,Some college,Sales and Office,No,1,Less than 2,No,23,1.7,0.214659,-1.538704556,0.176341,-1.735335658,No,Highly dissatisfied,Married,13,High school degree,4,0,0,0,0,0,0,0,0,,Multiple-Family,3,4 to 7,1,Lease,Import,10.6,Economy,No,Yes,Other public transit,Public transportation,32,No,No,No,No,No,Yes,No,Yes,No,No,No response,Moderate,No,No,No,Discover,Gold,None,No,8,6 to 10,American Express,Platinum,Cash back,No,9,6 to 10,8,255.1,7,252.73,Yes,Cereal,21,No,3.05,74.1,Yes,16.5,387.7,No,0,0,Yes,17.25,360,Yes,19.05,410.8,No,Yes,No,Cable modem,Yes,Yes,Yes,Yes,No,Yes,27,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No
9662-FUSYIM-1IV,Zone 4,"2,500-9,999",Male,64,50-64,August,17,College degree,Service,No,22,More than 15,No,107,5.6,1.060584,0.0588197,4.931416,1.595626168,No,Somewhat dissatisfied,Unmarried,Not married,Not married,1,11,1,1,0,0,2,0,7,Own,Single-family,31,More than 25,0,N/A,N/A,-1,N/A,N/A,No,Walk,Non-motorized,23,No,No,No,No,Yes,No,No,Yes,No,No,No response,Moderate,No,No,No,Visa,Other,None,Yes,18,More than 15,Mastercard,Platinum,Cash back,Yes,9,6 to 10,11,228.27,0,0,No,Cereal,28,No,8.1,264.9,Yes,26.75,726.6,Yes,35.5,970.95,Yes,28.25,765,No,0,0,No,No,Yes,None,Yes,Yes,Yes,Yes,No,Yes,21,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
7432-QKQFJJ-K72,Zone 2,"< 2,500",Female,52,50-64,July,14,High school degree,Managerial and Professional,No,10,6 to 10,No,77,1.9,0.501809,-0.68953571,0.961191,-0.039582138,No,Somewhat dissatisfied,Unmarried,Not married,Not married,1,2,0,2,0,0,0,0,0,Rent,Condominium/Townhouse,21,16 to 25,2,Own,Domestic,25.6,Standard,Yes,No,Bus,Public transportation,32,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No response,Moderate,No,No,No,Other,Platinum,None,Yes,3,2 to 5,Visa,Platinum,Other,No,2,2 to 5,20,822.32,5,130.14,No,Oatmeal,15,No,3.8,44.8,No,0,0,No,0,0,No,0,0,No,0,0,No,No,No,Dial-up,No,No,Yes,No,No,Yes,19,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
8959-RZWRHU-ST8,Zone 3,"2,500-9,999",Female,44,35-49,October,16,Some college,Managerial and Professional,No,11,11 to 15,No,97,14.4,5.950368,1.783453066,8.017632,2.081643116,No,Highly satisfied,Married,15,Some college,2,10,0,2,0,0,0,0,8,Own,Condominium/Townhouse,20,16 to 25,1,Own,Domestic,55.5,Luxury,No,Yes,Train/Subway,Public transportation,31,No,No,No,No,Yes,No,No,No,No,No,Convenience,Conservative,No,No,Yes,American Express,None,Other,No,25,More than 15,Mastercard,None,Other,No,20,More than 15,6,592.7,7,712.1,No,Cereal,46,No,14.85,612.7,Yes,24,1110.4,No,0,0,Yes,14.5,630,No,0,0,Yes,No,No,None,Yes,Yes,Yes,Yes,No,Yes,13,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
9124-DZALHM-S6I,Zone 2,"10,000-49,999",,66,>65,October,12,High school degree,Managerial and Professional,No,15,11 to 15,Yes,,2.6,0.102336,-2.279493762,0.313664,-1.15943293,No,Somewhat dissatisfied,Unmarried,Not married,Not married,1,1,1,0,0,0,0,0,0,Own,Single-family,21,16 to 25,1,Own,Import,8.6,Economy,No,No,Bus,Public transportation,25,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No response,Slightly liberal,Yes,Yes,Yes,Mastercard,Other,Cash back,No,26,More than 15,Visa,Other,Airline miles,No,17,More than 15,12,326.59,6,141.24,Yes,Cereal,53,No,21.05,1074.35,No,0,0,No,0,0,Yes,15.5,830,No,0,0,Yes,No,No,None,No,No,No,No,No,Yes,25,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No
3512-MUWBGY-52X,Zone 2,"50,000-249,999",Male,47,35-49,July,11,Did not complete high school,"Operation, Fabrication, General Labor",No,19,More than 15,No,84,4.1,1.770216,0.571101573,1.673784,0.515086931,No,Somewhat satisfied,Unmarried,Not married,Not married,2,1,1,0,0,0,0,0,0,Own,Single-family,19,16 to 25,4,Own,Domestic,41,Luxury,Yes,No,Car,Single occupancy,29,Yes,Yes,No,No,No,No,No,No,No,No,No response,Slightly liberal,Yes,Yes,Yes,Other,Other,None,No,2,2 to 5,Visa,Gold,None,No,2,2 to 5,11,199.64,5,111.17,Yes,Cereal,3,Yes,3.65,20.05,No,0,0,No,0,0,No,0,0,No,0,0,No,No,No,None,No,No,No,No,No,Yes,21,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
